freq,freq_units,v_in,v_in_units,shape,v_out,v_out_units,voltage_gain,gain_db
1,Hz,51.15,uVrms,sinusoid,2.292408,mVrms,44.81736070381231,33.0
2,Hz,51.15,uVrms,sinusoid,2.366453,mVrms,46.26496578690127,33.4
3,Hz,51.15,uVrms,sinusoid,3.215876,mVrms,62.87147605083089,36.0
4,Hz,51.15,uVrms,sinusoid,5.574092,mVrms,108.97540566959923,40.8
5,Hz,51.15,uVrms,sinusoid,9.252674,mVrms,180.89294232649073,45.199999999999996
6,Hz,51.15,uVrms,sinusoid,13.878567,mVrms,271.3307331378299,48.6
7,Hz,51.15,uVrms,sinusoid,18.967419,mVrms,370.81953079178885,51.4
8,Hz,51.15,uVrms,sinusoid,24.056123,mVrms,470.3054349951124,53.4
9,Hz,51.15,uVrms,sinusoid,28.726177,mVrms,561.6065884652982,55.0
10,Hz,51.15,uVrms,sinusoid,32.76495,mVrms,640.565982404692,56.2
20,Hz,51.15,uVrms,sinusoid,47.584134,mVrms,930.2860997067448,59.400000000000006
30,Hz,51.15,uVrms,sinusoid,49.685496,mVrms,971.3684457478006,59.800000000000004
40,Hz,51.15,uVrms,sinusoid,50.304189,mVrms,983.4641055718475,59.800000000000004
50,Hz,51.15,uVrms,sinusoid,50.568224,mVrms,988.6260801564027,60.0
60,Hz,51.15,uVrms,sinusoid,50.919187,mVrms,995.4875268817204,60.0
70,Hz,51.15,uVrms,sinusoid,50.791837,mVrms,992.9977908113392,60.0
80,Hz,51.15,uVrms,sinusoid,50.850992,mVrms,994.1542913000977,60.0
90,Hz,51.15,uVrms,sinusoid,50.896927,mVrms,995.0523362658846,60.0
100,Hz,51.15,uVrms,sinusoid,50.935533,mVrms,995.8070967741935,60.0
200,Hz,51.15,uVrms,sinusoid,51.114774,mVrms,999.3113196480938,60.0
300,Hz,51.15,uVrms,sinusoid,51.197414,mVrms,1000.9269599217987,60.0
400,Hz,51.15,uVrms,sinusoid,51.152092,mVrms,1000.0408993157381,60.0
500,Hz,51.15,uVrms,sinusoid,51.15545,mVrms,1000.1065493646139,60.0
600,Hz,51.15,uVrms,sinusoid,51.158027,mVrms,1000.1569305962854,60.0
700,Hz,51.15,uVrms,sinusoid,51.159906,mVrms,1000.1936656891495,60.0
800,Hz,51.15,uVrms,sinusoid,51.161026,mVrms,1000.2155620723362,60.0
900,Hz,51.15,uVrms,sinusoid,51.171881,mVrms,1000.4277810361681,60.0
1000,Hz,51.15,uVrms,sinusoid,51.162631,mVrms,1000.2469403714564,60.0
2000,Hz,51.15,uVrms,sinusoid,51.142926,mVrms,999.8617008797654,60.0
3000,Hz,51.15,uVrms,sinusoid,51.104278,mVrms,999.106119257087,60.0
4000,Hz,51.15,uVrms,sinusoid,51.082018,mVrms,998.6709286412512,60.0
5000,Hz,51.15,uVrms,sinusoid,51.062292,mVrms,998.2852785923753,60.0
6000,Hz,51.15,uVrms,sinusoid,51.045376000000005,mVrms,997.9545650048876,60.0
7000,Hz,51.15,uVrms,sinusoid,51.026537,mVrms,997.5862561094818,60.0
8000,Hz,51.15,uVrms,sinusoid,51.009578,mVrms,997.2547018572824,60.0
9000,Hz,51.15,uVrms,sinusoid,50.991796,mVrms,996.9070576735093,60.0
10000,Hz,51.15,uVrms,sinusoid,50.973907,mVrms,996.557321603128,60.0
20000,Hz,51.15,uVrms,sinusoid,50.747359,mVrms,992.1282306940371,60.0
30000,Hz,51.15,uVrms,sinusoid,50.412933,mVrms,985.5900879765396,59.800000000000004
40000,Hz,51.15,uVrms,sinusoid,49.965117000000006,mVrms,976.8351319648095,59.800000000000004
50000,Hz,51.15,uVrms,sinusoid,49.336899,mVrms,964.5532551319649,59.6
60000,Hz,51.15,uVrms,sinusoid,48.399069,mVrms,946.2183577712609,59.6
70000,Hz,51.15,uVrms,sinusoid,46.759252,mVrms,914.1593743890518,59.2
80000,Hz,51.15,uVrms,sinusoid,43.854148,mVrms,857.3635972629521,58.6
90000,Hz,51.15,uVrms,sinusoid,39.211634,mVrms,766.6008602150537,57.599999999999994
100000,Hz,51.15,uVrms,sinusoid,33.09133,mVrms,646.9468230694036,56.2
1,Hz,102.3,uVrms,sinusoid,1.0301209999999998,mVrms,10.06960899315738,20.0
2,Hz,102.3,uVrms,sinusoid,1.708921,mVrms,16.704995112414466,24.4
3,Hz,102.3,uVrms,sinusoid,4.725957,mVrms,46.197038123167154,33.199999999999996
4,Hz,102.3,uVrms,sinusoid,10.259584,mVrms,100.28918866080157,40.0
5,Hz,102.3,uVrms,sinusoid,18.036622,mVrms,176.31106549364614,45.0
6,Hz,102.3,uVrms,sinusoid,27.516604,mVrms,268.97951124144674,48.6
7,Hz,102.3,uVrms,sinusoid,37.85809,mVrms,370.0693059628543,51.4
8,Hz,102.3,uVrms,sinusoid,48.144601,mVrms,470.62171065493646,53.4
9,Hz,102.3,uVrms,sinusoid,57.594277,mVrms,562.9939100684262,55.0
10,Hz,102.3,uVrms,sinusoid,65.766481,mVrms,642.8786021505376,56.2
20,Hz,102.3,uVrms,sinusoid,95.521005,mVrms,933.7341642228739,59.400000000000006
30,Hz,102.3,uVrms,sinusoid,99.642651,mVrms,974.0239589442815,59.800000000000004
40,Hz,102.3,uVrms,sinusoid,100.83387,mVrms,985.6683284457479,59.800000000000004
50,Hz,102.3,uVrms,sinusoid,101.34436,mVrms,990.6584555229716,60.0
60,Hz,102.3,uVrms,sinusoid,101.56464,mVrms,992.8117302052785,60.0
70,Hz,102.3,uVrms,sinusoid,101.78418,mVrms,994.9577712609971,60.0
80,Hz,102.3,uVrms,sinusoid,101.89161,mVrms,996.007917888563,60.0
90,Hz,102.3,uVrms,sinusoid,101.96904,mVrms,996.7648093841643,60.0
100,Hz,102.3,uVrms,sinusoid,102.02344,mVrms,997.296578690127,60.0
200,Hz,102.3,uVrms,sinusoid,102.22152,mVrms,999.2328445747801,60.0
300,Hz,102.3,uVrms,sinusoid,102.31425,mVrms,1000.1392961876833,60.0
400,Hz,102.3,uVrms,sinusoid,102.28676,mVrms,999.8705767350929,60.0
500,Hz,102.3,uVrms,sinusoid,102.2937,mVrms,999.9384164222873,60.0
600,Hz,102.3,uVrms,sinusoid,102.29354,mVrms,999.9368523949169,60.0
700,Hz,102.3,uVrms,sinusoid,102.29763,mVrms,999.9768328445747,60.0
